username,url
emmv_sarr,https://twitter.com/emmv_sarr/status/1161058817565712385
Sata_Dl,https://twitter.com/Sata_Dl/status/1161057931904897024
MohamathThiam,https://twitter.com/MohamathThiam/status/1161057262531731456
diaxra_l,https://twitter.com/diaxra_l/status/1161056731482480640
coumbaa1,https://twitter.com/coumbaa1/status/1161056335544365056
aldosagna,https://twitter.com/aldosagna/status/1161056009156268032
DaveGnral1,https://twitter.com/DaveGnral1/status/1161014233309614085
ShamsObscure,https://twitter.com/ShamsObscure/status/1161055102771310592
mvlickneuftrois,https://twitter.com/mvlickneuftrois/status/1161054638445072385
DaDameskanitto,https://twitter.com/DaDameskanitto/status/1161054495645847553
MaguyJonas,https://twitter.com/MaguyJonas/status/1161053528867127297
LadyMounaa,https://twitter.com/LadyMounaa/status/1161052711766433793
Heisenkan,https://twitter.com/Heisenkan/status/1161064395893555204
mariamektall,https://twitter.com/mariamektall/status/1161063920695746560
leye_khadija,https://twitter.com/leye_khadija/status/1161063793327259650
vicky_salla,https://twitter.com/vicky_salla/status/1161063053317804034
BlacknBootifull,https://twitter.com/BlacknBootifull/status/1161062933146808321
karim_meissa,https://twitter.com/karim_meissa/status/1161062495827714048
__ramaJr__,https://twitter.com/__ramaJr__/status/1161062209449091073
___eog___,https://twitter.com/___eog___/status/1161062016494243840
NdeyemaguetteN,https://twitter.com/NdeyemaguetteN/status/1161060815660826624
Abibatou_,https://twitter.com/Abibatou_/status/1161060685410963456
AmadouWelleDia1,https://twitter.com/AmadouWelleDia1/status/1161060587494936576
Amina_Thm,https://twitter.com/Amina_Thm/status/1161060296519299073
Ndeyetouty4,https://twitter.com/Ndeyetouty4/status/1161059963315380225
themostangelic_,https://twitter.com/themostangelic_/status/1161059488402726912
Awaa_Diaw,https://twitter.com/Awaa_Diaw/status/1161058753795579904
Habiba_Drame,https://twitter.com/Habiba_Drame/status/1161057622788849664
JuniorJoop,https://twitter.com/JuniorJoop/status/1161056571377573889
UthmanNjaay,https://twitter.com/UthmanNjaay/status/1161056383694974982
thioune_paco,https://twitter.com/thioune_paco/status/1161053834266980359
Coumba_B,https://twitter.com/Coumba_B/status/1161052209632731136
theladybts,https://twitter.com/theladybts/status/1161052158076342273
